Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
117229,MCV2,COUNTRY,FRA,EUR,Europe,YEAR,2007,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2007,2007-01-01,2007-12-31
3628343,MCV2,COUNTRY,SYR,EMR,Eastern Mediterranean,YEAR,2004,,,,,,,,,82,82,,,,2025-07-14T16:23:12Z,2004,2004-01-01,2004-12-31
7609818,MCV2,COUNTRY,RUS,EUR,Europe,YEAR,2003,,,,,,,,,96,96,,,,2025-07-14T16:23:12Z,2003,2003-01-01,2003-12-31
472103,MCV2,COUNTRY,ETH,AFR,Africa,YEAR,2019,,,,,,,,,35,35,,,,2025-07-14T16:23:12Z,2019,2019-01-01,2019-12-31
7685976,MCV2,COUNTRY,CAF,AFR,Africa,YEAR,2013,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2013,2013-01-01,2013-12-31
7806604,MCV2,COUNTRY,SMR,EUR,Europe,YEAR,2004,,,,,,,,,94,94,,,,2025-07-14T16:23:12Z,2004,2004-01-01,2004-12-31
9538544,MCV2,COUNTRY,ZMB,AFR,Africa,YEAR,2023,,,,,,,,,70,70,,,,2025-07-14T16:23:12Z,2023,2023-01-01,2023-12-31
8098556,MCV2,COUNTRY,IRQ,EMR,Eastern Mediterranean,YEAR,2008,,,,,,,,,76,76,,,,2025-07-14T16:23:12Z,2008,2008-01-01,2008-12-31
8104954,MCV2,COUNTRY,LCA,AMR,Americas,YEAR,2022,,,,,,,,,63,63,,,,2025-07-14T16:23:12Z,2022,2022-01-01,2022-12-31
9760691,MCV2,COUNTRY,COK,WPR,Western Pacific,YEAR,2019,,,,,,,,,98,98,,,,2025-07-14T16:23:12Z,2019,2019-01-01,2019-12-31
1066749,MCV2,COUNTRY,LCA,AMR,Americas,YEAR,2016,,,,,,,,,88,88,,,,2025-07-14T16:23:12Z,2016,2016-01-01,2016-12-31
2812628,MCV2,COUNTRY,DMA,AMR,Americas,YEAR,2023,,,,,,,,,81,81,,,,2025-07-14T16:23:12Z,2023,2023-01-01,2023-12-31
4520310,MCV2,COUNTRY,TLS,SEAR,South-East Asia,YEAR,2024,,,,,,,,,72,72,,,,2025-07-14T16:23:12Z,2024,2024-01-01,2024-12-31
10103164,MCV2,COUNTRY,AUT,EUR,Europe,YEAR,2021,,,,,,,,,97,97,,,,2025-07-14T16:23:12Z,2021,2021-01-01,2021-12-31
2939147,MCV2,COUNTRY,LUX,EUR,Europe,YEAR,2005,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2005,2005-01-01,2005-12-31
1428039,MCV2,COUNTRY,TUR,EUR,Europe,YEAR,2015,,,,,,,,,86,86,,,,2025-07-14T16:23:12Z,2015,2015-01-01,2015-12-31
5496374,MCV2,COUNTRY,MYS,WPR,Western Pacific,YEAR,2015,,,,,,,,,99,99,,,,2025-07-14T16:23:12Z,2015,2015-01-01,2015-12-31
3205616,MCV2,COUNTRY,VNM,WPR,Western Pacific,YEAR,2003,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2003,2003-01-01,2003-12-31
4830697,MCV2,COUNTRY,GIN,AFR,Africa,YEAR,2008,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2008,2008-01-01,2008-12-31
8763991,MCV2,COUNTRY,PNG,WPR,Western Pacific,YEAR,2007,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2007,2007-01-01,2007-12-31
66591,MCV2,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2023,,,,,,,,,39,39,,,,2025-07-14T16:23:12Z,2023,2023-01-01,2023-12-31
1698878,MCV2,COUNTRY,PAN,AMR,Americas,YEAR,2014,,,,,,,,,90,90,,,,2025-07-14T16:23:12Z,2014,2014-01-01,2014-12-31
7273848,MCV2,COUNTRY,SVN,EUR,Europe,YEAR,2020,,,,,,,,,91,91,,,,2025-07-14T16:23:12Z,2020,2020-01-01,2020-12-31
225277,MCV2,COUNTRY,GRD,AMR,Americas,YEAR,2011,,,,,,,,,85,85,,,,2025-07-14T16:23:12Z,2011,2011-01-01,2011-12-31
2066339,MCV2,COUNTRY,SLE,AFR,Africa,YEAR,2013,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2013,2013-01-01,2013-12-31
3761484,MCV2,COUNTRY,TTO,AMR,Americas,YEAR,2023,,,,,,,,,91,91,,,,2025-07-14T16:23:12Z,2023,2023-01-01,2023-12-31
2231431,MCV2,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2017,,,,,,,,,99,99,,,,2025-07-14T16:23:12Z,2017,2017-01-01,2017-12-31
9551280,MCV2,COUNTRY,MDV,SEAR,South-East Asia,YEAR,2011,,,,,,,,,96,96,,,,2025-07-14T16:23:12Z,2011,2011-01-01,2011-12-31
4078021,MCV2,COUNTRY,BEL,EUR,Europe,YEAR,2016,,,,,,,,,82,82,,,,2025-07-14T16:23:12Z,2016,2016-01-01,2016-12-31
966404,MCV2,COUNTRY,CIV,AFR,Africa,YEAR,2008,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2008,2008-01-01,2008-12-31
9855914,MCV2,COUNTRY,MMR,SEAR,South-East Asia,YEAR,2010,,,,,,,,,75,75,,,,2025-07-14T16:23:12Z,2010,2010-01-01,2010-12-31
4640719,MCV2,COUNTRY,PAN,AMR,Americas,YEAR,2000,,,,,,,,,88,88,,,,2025-07-14T16:23:12Z,2000,2000-01-01,2000-12-31
6963304,MCV2,COUNTRY,IRL,EUR,Europe,YEAR,2019,,,,,,,,,90,90,,,,2025-07-14T16:23:12Z,2019,2019-01-01,2019-12-31
8764023,MCV2,COUNTRY,ESP,EUR,Europe,YEAR,2004,,,,,,,,,91,91,,,,2025-07-14T16:23:12Z,2004,2004-01-01,2004-12-31
7166201,MCV2,COUNTRY,MDV,SEAR,South-East Asia,YEAR,2022,,,,,,,,,98,98,,,,2025-07-14T16:23:12Z,2022,2022-01-01,2022-12-31
1667177,MCV2,COUNTRY,KWT,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,94,94,,,,2025-07-14T16:23:12Z,2022,2022-01-01,2022-12-31
8878348,MCV2,COUNTRY,WSM,WPR,Western Pacific,YEAR,2000,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2000,2000-01-01,2000-12-31
1895220,MCV2,COUNTRY,PER,AMR,Americas,YEAR,2023,,,,,,,,,66,66,,,,2025-07-14T16:23:12Z,2023,2023-01-01,2023-12-31
3755174,MCV2,COUNTRY,UZB,EUR,Europe,YEAR,2015,,,,,,,,,99,99,,,,2025-07-14T16:23:12Z,2015,2015-01-01,2015-12-31
4021040,MCV2,COUNTRY,UZB,EUR,Europe,YEAR,2019,,,,,,,,,99,99,,,,2025-07-14T16:23:12Z,2019,2019-01-01,2019-12-31
9697338,MCV2,COUNTRY,IDN,SEAR,South-East Asia,YEAR,2023,,,,,,,,,69,69,,,,2025-07-14T16:23:12Z,2023,2023-01-01,2023-12-31
9735389,MCV2,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2004,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2004,2004-01-01,2004-12-31
9792493,MCV2,COUNTRY,LCA,AMR,Americas,YEAR,2002,,,,,,,,,71,71,,,,2025-07-14T16:23:12Z,2002,2002-01-01,2002-12-31
4311841,MCV2,COUNTRY,EST,EUR,Europe,YEAR,2013,,,,,,,,,92,92,,,,2025-07-14T16:23:12Z,2013,2013-01-01,2013-12-31
8326772,MCV2,COUNTRY,WSM,WPR,Western Pacific,YEAR,2014,,,,,,,,,68,68,,,,2025-07-14T16:23:12Z,2014,2014-01-01,2014-12-31
4444678,MCV2,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2019,,,,,,,,,93,93,,,,2025-07-14T16:23:12Z,2019,2019-01-01,2019-12-31
8535872,MCV2,COUNTRY,NAM,AFR,Africa,YEAR,2002,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2002,2002-01-01,2002-12-31
35103,MCV2,COUNTRY,CHE,EUR,Europe,YEAR,2021,,,,,,,,,94,94,,,,2025-07-14T16:23:12Z,2021,2021-01-01,2021-12-31
7210393,MCV2,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2003,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2003,2003-01-01,2003-12-31
8859251,MCV2,COUNTRY,BHS,AMR,Americas,YEAR,2020,,,,,,,,,83,83,,,,2025-07-14T16:23:12Z,2020,2020-01-01,2020-12-31
5914236,MCV2,REGION,EMR,,,YEAR,2003,,,,,,,,,32,32,,,,2025-07-14T16:23:12Z,2003,2003-01-01,2003-12-31
6040439,MCV2,COUNTRY,SLV,AMR,Americas,YEAR,2004,,,,,,,,,80,80,,,,2025-07-14T16:23:12Z,2004,2004-01-01,2004-12-31
9215080,MCV2,COUNTRY,MDA,EUR,Europe,YEAR,2024,,,,,,,,,93,93,,,,2025-07-14T16:23:12Z,2024,2024-01-01,2024-12-31
3710758,MCV2,COUNTRY,GRC,EUR,Europe,YEAR,2007,,,,,,,,,77,77,,,,2025-07-14T16:23:12Z,2007,2007-01-01,2007-12-31
7647925,MCV2,COUNTRY,CHL,AMR,Americas,YEAR,2010,,,,,,,,,84,84,,,,2025-07-14T16:23:12Z,2010,2010-01-01,2010-12-31
561135,MCV2,COUNTRY,BRN,WPR,Western Pacific,YEAR,2020,,,,,,,,,97,97,,,,2025-07-14T16:23:12Z,2020,2020-01-01,2020-12-31
9392733,MCV2,COUNTRY,NAM,AFR,Africa,YEAR,2019,,,,,,,,,56,56,,,,2025-07-14T16:23:12Z,2019,2019-01-01,2019-12-31
3989357,MCV2,COUNTRY,BLZ,AMR,Americas,YEAR,2020,,,,,,,,,87,87,,,,2025-07-14T16:23:12Z,2020,2020-01-01,2020-12-31
2383785,MCV2,COUNTRY,IRQ,EMR,Eastern Mediterranean,YEAR,2003,,,,,,,,,45,45,,,,2025-07-14T16:23:12Z,2003,2003-01-01,2003-12-31
2774591,MCV2,COUNTRY,SLV,AMR,Americas,YEAR,2003,,,,,,,,,77,77,,,,2025-07-14T16:23:12Z,2003,2003-01-01,2003-12-31
